customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00012,Male,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.0,266.66,No
C00013,Male,0,No,Yes,46,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,41.07,2164.33,Yes
C00014,Female,0,Yes,No,5,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,57.44,85.6,Yes
C00015,Male,0,Yes,No,38,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),63.59,2782.96,No
C00016,Female,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,770.46,No
C00017,Female,0,No,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Electronic check,74.8,1489.53,No
C00018,Female,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,51.26,2506.58,No
C00019,Male,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,73.71,1823.2,No
C00020,Female,1,Yes,No,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),28.76,1829.31,No
C00021,Male,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.29,121.36,No
C00022,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),37.34,134.94,Yes
C00023,Female,1,Yes,No,59,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.99,5865.15,Yes
C00024,Female,0,No,No,59,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,87.04,5524.69,No
C00025,Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),26.62,485.82,No
C00026,Female,0,No,No,72,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,49.54,3298.97,No
C00027,Female,0,No,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,627.32,No
C00028,Female,0,No,No,72,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,85.89,6161.3,No
C00029,Female,0,No,Yes,24,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),48.49,1405.81,No
C00030,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,52.85,321.04,No
C00031,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,74.25,1257.75,No
C00032,Female,0,Yes,Yes,72,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),53.57,3336.36,No
C00033,Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.47,300.13,Yes
C00034,Female,0,Yes,Yes,72,No,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,58.78,4124.04,No
C00035,Male,0,No,Yes,51,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,80.02,4237.63,No
C00036,Female,1,Yes,No,18,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,77.44,1015.2,No
C00037,Male,0,No,Yes,24,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),90.37,2285.01,No
C00038,Male,1,Yes,Yes,29,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,65.32,2000.89,No
C00039,Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,81.2,2753.79,No
C00040,Male,0,No,Yes,2,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,36.88,71.25,No
C00041,Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.0,1512.34,No
C00042,Female,0,No,No,29,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),57.07,1657.13,Yes
C00043,Female,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.77,1556.18,No
C00044,Female,0,Yes,No,31,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),85.11,2590.75,No
C00045,Female,0,No,Yes,18,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Mailed check,48.04,608.26,No
C00046,Female,1,No,Yes,26,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),76.61,2041.35,Yes
C00047,Male,0,Yes,No,56,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,59.36,2833.05,No
C00048,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,70.48,854.7,Yes
C00049,Female,0,No,Yes,72,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,50.11,3739.98,No
C00050,Male,0,No,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.9,764.38,No
C00051,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,91.57,6809.46,No
C00052,Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,73.77,5459.6,No
C00053,Female,1,No,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),85.41,3757.8,No
C00054,Male,0,No,Yes,20,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),35.83,862.18,Yes
C00055,Female,0,No,No,28,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,34.62,690.19,No
C00056,Female,0,Yes,Yes,58,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),48.98,2968.68,No
C00057,Male,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.78,493.07,No
C00058,Male,0,No,No,42,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),40.5,1657.66,No
C00059,Male,0,Yes,No,50,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,104.83,5214.97,No
C00060,Male,0,Yes,Yes,23,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,58.24,1323.91,Yes
C00061,Male,0,Yes,No,24,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,40.36,1016.13,No
C00062,Male,0,No,No,7,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),40.95,527.76,No
C00063,Male,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,18.0,No
C00064,Male,0,No,No,72,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),40.15,2637.14,No
C00065,Female,0,No,No,58,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,30.29,1611.58,No
C00066,Female,0,No,No,1,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,43.83,295.38,Yes
C00067,Male,1,Yes,No,65,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),61.93,3901.28,No
C00068,Female,1,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.0,18.0,No
C00069,Female,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,21.2,468.37,No
C00070,Female,0,No,Yes,2,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,36.54,18.0,No
C00071,Female,0,No,No,72,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Mailed check,44.52,3150.87,No
C00072,Male,0,No,No,72,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Electronic check,88.66,6638.24,No
C00073,Female,1,No,No,30,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),59.92,1821.48,Yes
C00074,Male,0,No,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.31,326.04,No
C00075,Female,1,Yes,No,22,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,67.17,1153.04,No
C00076,Female,1,Yes,No,45,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,80.0,3432.15,No
C00077,Female,0,No,No,8,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,29.64,118.78,No
C00078,Male,0,Yes,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.87,444.81,Yes
C00079,Female,0,No,No,42,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),47.57,2159.63,No
C00080,Male,1,Yes,No,16,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),61.47,1423.3,Yes
C00081,Female,0,No,Yes,1,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,41.22,18.0,Yes
C00082,Male,1,Yes,Yes,22,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),97.8,2382.91,No
C00083,Female,0,Yes,Yes,42,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,30.12,1694.23,No
C00084,Male,0,No,Yes,72,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,49.79,3329.03,No
C00085,Male,1,Yes,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,223.28,No
C00086,Female,0,Yes,No,24,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,34.43,1123.61,No
C00087,Male,0,Yes,No,19,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,56.71,1158.45,No
C00088,Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.0,18.0,No
C00089,Female,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,361.46,No
C00090,Female,0,No,No,5,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,55.47,18.0,Yes
C00091,Female,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,80.6,989.0,Yes
C00092,Female,1,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,804.0,No
C00093,Female,1,Yes,No,19,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),78.58,1417.13,Yes
C00094,Female,0,No,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,67.23,4654.81,No
C00095,Female,0,No,No,15,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),30.16,528.93,No
C00096,Female,0,No,No,19,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),52.15,1097.92,No
C00097,Female,0,No,No,11,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,19.02,60.31,No
C00098,Female,1,No,Yes,8,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.47,542.48,Yes
C00099,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.86,1257.19,No
C00100,Male,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,59.22,2679.08,Yes
C00101,Female,0,No,Yes,12,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.31,852.09,Yes
C00102,Female,0,Yes,Yes,38,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),91.84,3497.53,No
C00103,Female,0,Yes,No,72,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),78.27,5459.01,No
C00104,Female,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,103.85,81.66,No
C00105,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,54.9,682.58,Yes
C00106,Female,0,Yes,No,7,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,28.77,376.13,No
C00107,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,65.9,4500.3,No
C00108,Female,0,Yes,Yes,6,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,46.24,347.44,Yes
C00109,Male,0,Yes,No,11,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.96,182.68,Yes
C00110,Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,24.81,935.95,No
C00111,Male,0,Yes,Yes,31,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),71.27,2148.8,No
C00112,Female,0,No,Yes,52,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,18.0,1219.22,Yes
C00113,Female,0,No,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,41.68,751.72,No
C00114,Male,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,456.58,No
C00115,Female,1,No,No,72,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,27.27,1792.87,No
C00116,Male,1,Yes,Yes,11,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),52.96,505.38,No
C00117,Female,0,Yes,No,9,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,30.32,183.86,Yes
C00118,Female,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),89.24,3434.79,No
C00119,Male,0,No,No,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),34.29,1867.96,No
C00120,Female,0,Yes,No,17,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,40.76,484.5,No
C00121,Male,0,Yes,Yes,7,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,57.54,474.87,Yes
C00122,Female,0,Yes,Yes,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.42,1819.68,No
C00123,Male,0,No,No,35,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.6,2746.04,Yes
C00124,Male,0,Yes,Yes,66,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,49.49,3268.75,No
C00125,Female,0,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,969.66,No
C00126,Female,0,Yes,No,7,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,69.84,243.76,No
C00127,Male,0,Yes,No,57,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),58.79,3270.7,No
C00128,Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.25,607.66,Yes
C00129,Female,0,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,42.65,2840.99,No
C00130,Female,0,No,No,47,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,42.81,2154.15,No
C00131,Male,0,Yes,No,26,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,18.0,489.18,No
C00132,Male,0,Yes,No,32,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,37.97,1219.23,No
C00133,Male,0,No,No,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),27.97,18.0,No
C00134,Male,0,Yes,No,1,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),76.64,215.51,No
C00135,Male,0,Yes,Yes,12,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),58.03,590.71,Yes
C00136,Male,0,Yes,Yes,55,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),18.47,1039.09,No
C00137,Male,0,Yes,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),41.63,929.25,No
C00138,Male,0,Yes,No,8,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,37.32,334.29,No
C00139,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),59.2,3621.53,No
C00140,Female,0,Yes,No,8,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,23.54,473.33,Yes
C00141,Male,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,1337.96,No
C00142,Female,0,Yes,No,19,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),56.02,1246.99,Yes
C00143,Female,1,No,No,19,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Electronic check,59.45,1197.64,No
C00144,Female,1,Yes,No,10,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),36.82,335.56,No
C00145,Male,1,No,No,72,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,27.87,2177.75,No
C00146,Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),81.05,345.06,No
C00147,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,260.35,Yes
C00148,Male,0,Yes,No,32,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),39.59,1378.42,No
C00149,Female,0,No,No,60,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,90.07,5380.07,No
C00150,Male,0,Yes,No,3,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),28.82,166.31,No
C00151,Male,0,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,78.7,3344.14,Yes
C00152,Male,1,No,No,43,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,31.03,1141.34,No
C00153,Male,0,No,No,27,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,38.38,1054.09,No
C00154,Male,1,Yes,No,21,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),42.95,543.43,No
C00155,Female,0,No,No,12,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),47.96,441.19,Yes
C00156,Male,0,Yes,No,13,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,30.88,506.97,Yes
C00157,Female,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.83,646.35,No
C00158,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,287.91,No
C00159,Female,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,47.47,1547.17,No
C00160,Male,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,61.53,No
C00161,Male,0,Yes,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),27.72,478.43,No
C00162,Female,0,No,Yes,26,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,55.46,1489.62,No
C00163,Female,1,No,Yes,69,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),47.37,3388.22,No
C00164,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,77.71,2014.58,No
C00165,Male,1,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,101.02,1093.71,Yes
C00166,Female,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.0,18.0,No
C00167,Male,0,No,No,31,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),40.8,1036.31,No
C00168,Male,0,Yes,No,25,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),69.33,1442.44,No
C00169,Female,0,No,Yes,35,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,65.05,1996.19,No
C00170,Female,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.72,559.65,No
C00171,Male,0,No,No,55,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,70.39,4225.31,No
C00172,Male,0,No,No,72,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),72.98,5210.97,No
C00173,Female,0,Yes,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,48.47,534.38,No
C00174,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,33.28,1371.44,No
C00175,Female,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.61,18.0,No
C00176,Male,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.0,406.26,No
C00177,Male,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.22,1240.52,No
C00178,Male,0,No,No,38,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Electronic check,34.84,1517.24,No
C00179,Male,0,Yes,No,13,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,51.04,550.72,No
C00180,Male,0,No,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.22,1785.75,No
C00181,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),36.26,552.2,No
C00182,Female,0,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49.35,837.78,Yes
